"Gene_symbol"	"Entrez_ID"	"Value_count"	"hgnc_symbol"	"ensembl_gene_id"	"chromosome_name"
"247"	"C6orf41"	100133205	310	"LINC00240"	"ENSG00000224843"	"6"
"248"	"PLK1S1"	55857	310	"KIZ"	"ENSG00000088970"	"20"
"249"	"PPP2R3C"	55012	310	"PPP2R3C"	"ENSG00000092020"	"14"
"250"	"C7orf63"	79846	307	"CFAP69"	"ENSG00000105792"	"7"
"251"	"TRIM66"	9866	307	"TRIM66"	"ENSG00000166436"	"11"
"252"	"PYGB"	5834	306	"PYGB"	"ENSG00000100994"	"20"
"253"	"GPX7"	2882	306	"GPX7"	"ENSG00000116157"	"1"
"254"	"UPK3B"	80761	306	NA	NA	NA
"255"	"HS2ST1"	9653	306	"HS2ST1"	"ENSG00000153936"	"1"
"256"	"STOX1"	219736	306	"STOX1"	"ENSG00000165730"	"10"
"257"	"ZRANB3"	84083	305	"ZRANB3"	"ENSG00000121988"	"2"
"258"	"ATG10"	83734	304	"ATG10"	"ENSG00000152348"	"5"
"259"	"PYROXD2"	84795	303	"PYROXD2"	"ENSG00000119943"	"10"
"260"	"LYZ"	4069	302	"LYZ"	"ENSG00000090382"	"12"
"261"	"KRT6C"	286887	302	"KRT6C"	"ENSG00000170465"	"12"
"262"	"AVL9"	23080	301	"AVL9"	"ENSG00000105778"	"7"
"263"	"SMPD2"	6610	301	"SMPD2"	"ENSG00000135587"	"6"
"264"	"SNCA"	6622	299	"SNCA"	"ENSG00000145335"	"4"
"265"	"LINGO1"	84894	299	"LINGO1"	"ENSG00000169783"	"15"
"266"	"ZKSCAN2"	342357	299	"ZKSCAN2"	"ENSG00000155592"	"16"
"267"	"GBP7"	388646	298	"GBP7"	"ENSG00000213512"	"1"
"268"	"MCOLN2"	255231	298	"MCOLN2"	"ENSG00000153898"	"1"
"269"	"C5orf35"	133383	298	"SETD9"	"ENSG00000155542"	"5"
"270"	"WDR87"	83889	297	"WDR87"	"ENSG00000171804"	"19"
"271"	"SIRPB1"	10326	297	"SIRPB1"	"ENSG00000101307"	"20"
"272"	"CCDC7"	221016	296	NA	NA	NA
"273"	"ARPP19"	10776	295	"ARPP19"	"ENSG00000128989"	"15"
"274"	"FAM119B"	25895	294	"EEF1AKMT3"	"ENSG00000123427"	"12"
"275"	"SPATA5L1"	79029	294	"SPATA5L1"	"ENSG00000171763"	"15"
"276"	"XRCC6BP1"	91419	294	"ATP23"	"ENSG00000166896"	"12"
"277"	"GTPBP10"	85865	294	"GTPBP10"	"ENSG00000105793"	"7"
"278"	"IL20RB"	53833	293	"IL20RB"	"ENSG00000174564"	"3"
"279"	"ADCK1"	57143	293	"ADCK1"	"ENSG00000063761"	"14"
"280"	"NXPH1"	30010	292	"NXPH1"	"ENSG00000122584"	"7"
"281"	"TSFM"	10102	291	"TSFM"	"ENSG00000123297"	"12"
"282"	"GGT7"	2686	291	"GGT7"	"ENSG00000131067"	"20"
"283"	"LRRC19"	64922	290	"LRRC19"	"ENSG00000184434"	"9"
"284"	"SPINK5"	11005	290	"SPINK5"	"ENSG00000133710"	"5"
"285"	"COX4I2"	84701	290	"COX4I2"	"ENSG00000131055"	"20"
"286"	"ZMYND12"	84217	289	"ZMYND12"	"ENSG00000066185"	"1"
"287"	"ULK4"	54986	289	"ULK4"	"ENSG00000168038"	"3"
"288"	"P4HTM"	54681	288	"P4HTM"	"ENSG00000178467"	"3"
"289"	"FRG1B"	284802	288	NA	NA	NA
"290"	"CEP63"	80254	288	"CEP63"	"ENSG00000182923"	"3"
"291"	"C11orf46"	120534	288	"ARL14EP"	"ENSG00000152219"	"11"
"292"	"NEK11"	79858	286	"NEK11"	"ENSG00000114670"	"3"
"293"	"HAAO"	23498	285	"HAAO"	"ENSG00000162882"	"2"
"294"	"NCAPG"	64151	284	"NCAPG"	"ENSG00000109805"	"4"
"295"	"CCDC152"	100129792	284	"CCDC152"	"ENSG00000198865"	"5"
"296"	"LOC388152"	388152	284	NA	NA	NA
"297"	"UQCC"	55245	283	"UQCC1"	"ENSG00000101019"	"20"
"298"	"ZSCAN12"	9753	282	"ZSCAN12"	"ENSG00000158691"	"6"
"299"	"FAM162B"	221303	282	"FAM162B"	"ENSG00000183807"	"6"
"300"	"DGCR10"	26222	281	NA	NA	NA
"301"	"IBSP"	3381	279	"IBSP"	"ENSG00000029559"	"4"
"302"	"MRPL35"	51318	279	"MRPL35"	"ENSG00000132313"	"2"
"303"	"METT5D1"	196074	278	"METTL15"	"ENSG00000169519"	"11"
"304"	"MAEL"	84944	277	"MAEL"	"ENSG00000143194"	"1"
"305"	"PBLD"	64081	276	"PBLD"	"ENSG00000108187"	"10"
"306"	"FAM160A1"	729830	276	"FAM160A1"	"ENSG00000164142"	"4"
"307"	"TMEM180"	79847	275	"MFSD13A"	"ENSG00000138111"	"10"
"308"	"AKR1E2"	83592	275	"AKR1E2"	"ENSG00000165568"	"10"
"309"	"C2orf63"	130162	274	"CLHC1"	"ENSG00000162994"	"2"
