"Gene_symbol"	"Entrez_ID"	"Value_count"	"ensembl_gene_id"	"entrezgene_id"	"chromosome_name"
"365"	"NKX2-1"	7080	251	"ENSG00000136352"	7080	"14"
"366"	"BAK1"	578	250	"ENSG00000030110"	578	"6"
"367"	"HIST1H3E"	8353	250	NA	NA	NA
"368"	"PGD"	5226	249	"ENSG00000142657"	5226	"1"
"369"	"CNTLN"	54875	249	"ENSG00000044459"	54875	"9"
"370"	"TTC18"	118491	249	NA	NA	NA
"371"	"MYBPC3"	4607	248	"ENSG00000134571"	4607	"11"
"372"	"C2orf54"	79919	248	NA	NA	NA
"373"	"CCR5"	1234	248	"ENSG00000160791"	1234	"3"
"374"	"LOC387647"	387647	247	NA	NA	NA
"375"	"TDH"	157739	247	"ENSG00000154316"	157739	"8"
"376"	"CD177"	57126	247	"ENSG00000204936"	57126	"19"
"377"	"SLC22A10"	387775	246	"ENSG00000184999"	387775	"11"
"378"	"POLR1A"	25885	246	"ENSG00000068654"	25885	"2"
"379"	"LOC441204"	441204	246	NA	NA	NA
"380"	"SULT1C2"	6819	246	"ENSG00000198203"	6819	"2"
"381"	"CCDC17"	149483	246	"ENSG00000159588"	149483	"1"
"382"	"FLJ40852"	285962	245	NA	NA	NA
"383"	"MS4A14"	84689	245	"ENSG00000166928"	84689	"11"
"384"	"C3orf55"	152078	245	NA	NA	NA
"385"	"ERCC8"	1161	243	"ENSG00000049167"	1161	"5"
"386"	"USP44"	84101	243	"ENSG00000136014"	84101	"12"
"387"	"NOM1"	64434	243	"ENSG00000146909"	64434	"7"
"388"	"ZNF425"	155054	243	"ENSG00000204947"	155054	"7"
"389"	"KLHL5"	51088	243	"ENSG00000109790"	51088	"4"
"390"	"CST4"	1472	243	"ENSG00000101441"	1472	"20"
"391"	"HMGCLL1"	54511	242	"ENSG00000146151"	54511	"6"
"392"	"PNLDC1"	154197	241	"ENSG00000146453"	154197	"6"
"393"	"C9orf43"	257169	240	"ENSG00000157653"	257169	"9"
"394"	"DGCR11"	25786	240	"ENSG00000273311"	25786	"22"
"395"	"TRIM59"	286827	240	"ENSG00000213186"	286827	"3"
"396"	"UNC50"	25972	240	"ENSG00000115446"	25972	"2"
"397"	"RUVBL1"	8607	239	"ENSG00000175792"	8607	"3"
"398"	"TMEM140"	55281	238	"ENSG00000146859"	55281	"7"
"399"	"LOC100101266"	100101266	238	NA	NA	NA
"400"	"SLC38A11"	151258	238	"ENSG00000169507"	151258	"2"
"401"	"TULP3"	7289	237	"ENSG00000078246"	7289	"12"
"402"	"CD37"	951	237	"ENSG00000104894"	951	"19"
"403"	"CMAH"	8418	237	NA	NA	NA
"404"	"KHK"	3795	237	"ENSG00000138030"	3795	"2"
"405"	"NRBF2"	29982	237	"ENSG00000148572"	29982	"10"
"406"	"CAPS2"	84698	237	"ENSG00000180881"	84698	"12"
"407"	"CWF19L1"	55280	236	"ENSG00000095485"	55280	"10"
"408"	"SYPL2"	284612	236	"ENSG00000143028"	284612	"1"
"409"	"CELF4"	56853	235	"ENSG00000101489"	56853	"18"
"410"	"LHFPL5"	222662	235	"ENSG00000197753"	222662	"6"
"411"	"C10orf129"	142827	235	NA	NA	NA
"412"	"GEN1"	348654	235	"ENSG00000178295"	348654	"2"
"413"	"REEP1"	65055	235	"ENSG00000068615"	65055	"2"
