Gene_symbol	CTTN	FBLN2	FLNA	ARHGEF9	SLC39A14	ATP6V1C2	ISLR	MYH11	SRI	UGP2	IL1R2	HKDC1	CD44	Cancer
Gene_ensembl_id	ENSG00000085733	ENSG00000163520	ENSG00000196924	ENSG00000131089	ENSG00000104635	ENSG00000143882	ENSG00000129009	ENSG00000133392	ENSG00000075142	ENSG00000169764	ENSG00000115590	ENSG00000156510	ENSG00000026508	Cancer
Sample_ID														
TCGA-AA-3971-01A-01R-1022-07	44.3339607642	4.18622007537	54.3434775384	3.6888961298	18.546766123599998	5.5792279246500005	12.7292455907	8.73935495105	81.7417531288	22.071355172399997	4.80366910275	14.1517725452	29.7057497558	1
TCGA-AA-3666-01A-02R-0905-07	33.0547139183	1.88364217139	23.632184187600004	3.64680231178	24.3542658928	0.847987277605	3.76597710601	1.57852208863	31.6455397979	14.0065395218	0.7373971793619999	29.652324208899998	26.4885852715	1
TCGA-D5-6898-01A-11R-1928-07	67.7067133859	4.84054044679	176.22688454599998	3.11106656893	31.9227916027	3.44349243105	32.1707804704	63.853833285600004	40.6295652067	14.342190163699998	1.29685391361	10.1818314784	16.3536006896	1
TCGA-D5-6537-01A-11R-1723-07	29.599726101799998	1.95655672896	46.4906389612	3.35487597446	57.084967701400004	2.12274196874	5.7289048324300005	0.456547310947	40.0811906827	18.1372907963	1.97004868533	25.8753089047	40.1676555405	1
TCGA-SS-A7HO-01A-21R-A37K-07	39.9848866268	7.099152900519999	38.4606447106	1.7635426372599998	32.8565120473	2.07306572126	0.595961070974	1.63500202648	20.9547816703	11.370546543	0.722472785811	16.700836686	11.3919236046	1
TCGA-CK-5915-01A-11R-1653-07	31.4830817716	0.308052642099	28.0662849282	3.45749112261	34.629704945	1.88291462507	6.53642111821	1.25657042991	35.7966054023	18.7510296031	1.66152614988	29.418598508000002	35.8028942153	1
TCGA-AA-A00L-01A-01R-A002-07	48.458815064899994	1.92943938163	15.4028567924	4.13009276576	17.1147377382	5.2026433153300005	5.36682953566	1.46330859266	30.0157489163	12.574697484400001	0.464815755308	40.880294663499996	25.093360712	1
TCGA-G4-6321-01A-11R-1723-07	71.2122706582	3.0417101647900004	9.783580939630001	1.22788835125	36.205148088099996	0.323888564589	2.6295656282	2.92050955362	91.49883072829999	35.014644169200004	16.1741917816	40.3791796339	7.00415289454	1
TCGA-AA-3489-01A-21R-1839-07	36.094602406599996	43.5833948154	107.63822924799999	5.48453278926	31.2478678017	2.04616290908	50.3050268512	4.38859621004	30.2350601214	15.086658446900001	1.83656122911	11.4590254338	41.5864206024	1
TCGA-AA-A01S-01A-21R-A083-07	43.8599615584	1.3145473035200002	18.0451133425	1.78782498588	12.436749361099999	5.64473589533	8.22487588164	0.7122983927969999	56.0660810321	3.5140037737	9.123918579660002	36.2777867421	19.387729543800003	1
TCGA-DM-A1HB-01A-21R-A180-07	32.8905678516	4.52371082047	13.6684821536	1.75049331749	28.004543003800002	1.0278559656	11.2273368823	0.866596595508	15.6284248547	13.291482285799999	10.2594777575	12.787632247000001	60.97857918800001	1
TCGA-D5-6931-01A-11R-1928-07	48.020340905299996	13.3849600704	169.697395917	5.160425388319999	26.3701328701	1.2746099615000002	16.6553488867	7.63027521868	30.9560111782	19.9650855882	3.5861361435300005	33.5317748345	34.1706616727	1
TCGA-T9-A92H-01A-11R-A37K-07	57.1078335731	1.13476284637	53.7197254697	8.36606186416	30.0869079143	4.59722945804	7.902814718280001	1.4301954925600002	58.455874242600004	22.840615780700002	3.05656965885	25.321544172600003	29.990052196700002	1
TCGA-A6-5656-01B-02R-A277-07	30.725311126999998	5.88599227657	23.0119221143	4.88703115144	18.0127881113	5.02187851682	7.06184040029	25.313179860500004	54.374250374700004	17.5638171498	0.921685481122	8.16423734456	44.04792161939999	1
TCGA-AD-6965-01A-11R-1928-07	44.6609553022	4.13343530671	130.004501305	3.79885990357	16.0732491321	3.23490733676	19.474415057599998	7.5724792907	33.4732466464	19.5322909323	1.93917402096	31.2668734148	39.5757872508	1
TCGA-DM-A1D7-01A-11R-A155-07	26.588119660100002	1.1297798878799998	23.2258198006	1.6705529544100002	25.6215769259	3.78246403491	13.220965937699999	2.88427295699	35.8814209266	15.854161366800001	2.0665807772	33.6326303475	26.0254396227	1
TCGA-A6-6140-01A-11R-1774-07	50.7347635937	1.94100157932	30.753160477399998	4.10633674355	20.3396355253	4.5380505729900005	4.547553164680001	2.54690498162	48.7092567775	16.135805472	0.535106974401	27.1863207027	24.979415737100002	1
TCGA-CM-4744-01A-01R-A32Z-07	41.813933634899996	1.19863714969	24.7261043937	1.3539074594100002	37.8744050885	1.15840968013	4.893116615019999	1.3838304557	62.75947467939999	11.0132142877	0.608316297721	23.731637071799998	41.3010349447	1
TCGA-AD-A5EJ-01A-11R-A28H-07	50.4876621455	6.1656021475400005	57.4962547332	0.23140790977	20.2913939982	0.973825086173	13.6278964095	1.95896469277	17.627255850999997	9.52537752062	18.562964755	26.3798028445	59.8327533333	1
TCGA-AA-3970-01A-01R-1022-07	34.1710029749	2.74146000361	19.2612235064	2.1391085808900003	61.405079729099995	3.9516509979	8.73323084117	2.2624598918400003	41.9320492334	21.2261594316	3.22423805991	9.51824751296	46.4673200975	1
TCGA-CK-5914-01A-11R-1653-07	35.5487485099	5.5072974453	24.9890359323	2.9660296568	22.854942317800003	2.48709740436	16.2856290573	1.12248989805	35.5769601295	18.5632771727	0.446278360379	30.9985171381	48.6013051291	1
TCGA-A6-5666-01A-01R-1653-07	33.566841416	2.2060409953	16.09978216	4.2492213128500005	35.3926799265	9.82311856224	3.28238122231	0.669415229578	42.799079916	16.3987869673	1.68866202902	14.754587188499999	56.2776768332	1
TCGA-4N-A93T-01A-11R-A37K-07	67.6653462137	0.651011078322	9.44566923755	4.428054529330001	9.11045641585	5.6150876506800005	4.68317277616	1.74265953341	62.6904292525	13.8995717393	2.30972571865	23.038350573899997	27.4591325138	1
TCGA-CM-6171-01A-11R-1653-07	33.8419436065	1.15945093523	46.5008402653	2.45490453393	29.482725981799998	1.0349540204	5.49041572815	0.942705684615	23.4785804785	8.124955965169999	5.58308846582	10.697447156299999	27.1988649187	1
TCGA-G4-6309-01A-21R-1839-07	56.638337235	2.6406136308700003	50.24652482689999	1.60465592345	27.5811468552	2.45861262195	11.547529216500001	1.57445422114	20.9735607193	11.767490873599998	9.232904778139998	25.410562603400003	41.9750003284	1
